keys;nl_NL;nl;en
VastroeienBeideBoorden;Vastroeien beide boorden;Houden beide boorden;Check her down
HalenBeideBoorden;Halen beide boorden;Halen beide boorden;Stroke both sides
Bedankt;Bedankt;Bedankt;Easy off
HalenSB;Halen SB;Halen SB;Stroke starboard
StrijkenSB;Strijken SB;Strijken SB;Back down starboard
VastroeienSB;Vastroeien SB;Vastroeien SB;Check her down starboard
StrijkenBeidenBoorden;Strijken beiden boorden;Strijken beiden boorden;Back down
HalenBB;Halen BB;Halen BB;Stroke port
StrijkenBB;Strijken BB;Strijken BB;Back down port
VastroeienBB;Vastroeien BB;Vastroeien BB;Check her down port
Boem;Boem;Boem;Bang
LegBootStil;Leg eerst de boot stil;Leg eerst de boot stil;todo
EerstLatenLopen;Eerst laten lopen;Eerst laten lopen;todo
SlippenBeideBoorden;Slippen beide boorden;Slippen beide boorden;Blades along side
SlippenSB;Slippen SB;Slippen SB;Blades along starboard side
UitbrengenSB;Uitbrengen SB;Uitbrengen SB;todo
PeddelendStrijkenSB;Peddelend strijken SB;Peddelend strijken SB;todo
RondMakenSB;Rondmaken over SB;Rondmaken over SB;Spin turn starboard
UitbrengenBeideBoorden;Uitbrengen beide boorden;Uitbrengen beide boorden;todo
SlippenBB;Slippen BB;Slippen BB;Blades along port side
UitbrengenBB;Uitbrengen BB;Uitbrengen BB;todo
PeddelendStrijkenBB;Peddelend strijken BB;Peddelend strijken BB;todo
RondMakenBB;Rondmaken over BB;Rondmaken over BB;Spin turn port
LaatLopen;Laat lopen;Laat lopen;Let it run
EerstLatenLopenOfBedankt;Eerst laten lopen of bedankt;Eerst laten lopen of bedankt;todo
CommandoNietMogelijk;Commando niet mogelijk;Commando niet mogelijk;todo
EerstSlippen;Eerst slippen;Eerst slippen;todo
EerstUitBrengen;Eerst uitbrengen;Eerst uitbrengen;todo
StartPositie;Start;Start;Start
StartOpWater;Start op water;Start op water;todo
StartAangelegd;Start wegvaren;Start wegvaren;todo
UseButtons;Gebruik commando knoppen;Gebruik commando knoppen;Use command buttons
IntroText;Stuurinstructie gaat een stuk sneller als je goed de commando’s kent voordat je in de boot stapt. Gebruik deze app voor het oefenen van de stuurcommando's. Geef roei stuur commando's om een achtje om de 2 boeitjes te varen. Gebruik de start knop om weer terug naar een begin positie te gaan. Het is geen perfecte roeiboot simulatie. De boot heeft geen roer zodat je nog beter de commando’s kan oefenen.\n\n Je kunt met de knoppen de commando's geven of met het toetsenbord via de commando selectie knop links boven. Selecteer de selectie knop en gebruik enter, begin letter van een commando en de pijltjes voor selectie.\n\nVeel plezier,\n\nTijmen\ntijmen@vangulik.org;Stuurinstructie gaat een stuk sneller als je goed de commando’s kent voordat je in de boot stapt. Gebruik deze app voor het oefenen van de stuurcommando's. Geef roei stuur commando's om een achtje om de 2 boeitjes te varen. Gebruik de start knop om weer terug naar een begin positie te gaan. Het is geen perfecte roeiboot simulatie. De boot heeft geen roer zodat je nog beter de commando’s kan oefenen.\n\n Je kunt met de knoppen de commando's geven of met het toetsenbord via de commando selectie knop links boven. Selecteer de selectie knop en gebruik enter, begin letter van een commando en de pijltjes voor selectie.\n\nVeel plezier,\n\nTijmen\ntijmen@vangulik.org;Not yet translated to english. This is work in progress\nTijmen\ntijmen@vangulik.org
Close;Sluiten;Sluiten;Close
ShowIntroText;Introductie tekst;Introductie tekst;Introduction text
Links;[center]Broncode en project:[/center]\n[center] [url=https://github.com/tijmenvangulik/PracticeRowingCommands]https://github.com/tijmenvangulik/PracticeRowingCommands[/url][/center];[center]Broncode en project:[/center]\n[center] [url=https://github.com/tijmenvangulik/PracticeRowingCommands]https://github.com/tijmenvangulik/PracticeRowingCommands[/url][/center];[center]Source code and project:[/center]\n[center] [url=https://github.com/tijmenvangulik/PracticeRowingCommands]https://github.com/tijmenvangulik/PracticeRowingCommands[/url][/center]
LightPaddle;Light paddle;Light paddle;Light paddle
LightPaddleBedankt;Light paddle bedankt;Light paddle bedankt;todo
RiemenHoogSB;Riemen hoog SB;Riemen hoog SB;Starboard oars high
RiemenHoogBB;Riemen hoog BB;Riemen hoog BB;Port oars high
StartAanleggen;Start aanleggen;Start aanleggen;todo
StartAanleggenMinderKnoppen;Start aanleggen (minder knoppen);Start aanleggen (minder knoppen);todo
StartAangelegdMinderKnoppen;Start wegvaren (minder knoppen);Start wegvaren (minder knoppen);todo
StartStrijkendAanleggen;Start strijkend aanleggen;Start strijkend aanleggen;todo
StartStrijkendAanleggenMinderKnoppen;Start strijkend aanleggen (minder knoppen);Start strijkend aanleggen (minder knoppen);todo
StartAanleggenWal;Start aanleggen hoge wal;Start aanleggen;todo
StartAanleggenWalMinderKnoppen;Start aanleggen hoge wal (minder knoppen);Start aanleggen (minder knoppen);todo
StartStrijkendAanleggenWal;Start strijkend aanleggen hoge wal;Start strijkend aanleggen;todo
StartStrijkendAanleggenWalMinderKnoppen;Start strijkend aanleggen hoge wal (minder knoppen);Start strijkend aanleggen (minder knoppen);todo
UitzettenSB;Uitzetten SB;Uitzetten SB;Push away starboard
UitzettenBB;Uitzetten BB;Uitzetten BB;Push away port
